iter	Passed	Remaining
408	5076	7335
409	5088	7322
410	5100	7309
411	5111	7295
412	5124	7283
413	5134	7268
414	5146	7254
415	5158	7241
416	5169	7226
417	5181	7214
418	5193	7201
419	5203	7186
420	5216	7173
421	5229	7162
422	5243	7152
423	5255	7140
424	5269	7129
425	5282	7117
426	5294	7105
427	5306	7092
428	5319	7080
429	5331	7067
430	5343	7054
431	5355	7040
432	5367	7028
433	5379	7015
434	5390	7001
435	5402	6987
436	5415	6977
437	5428	6964
438	5440	6952
439	5452	6939
440	5464	6926
441	5476	6914
442	5488	6900
443	5499	6886
444	5512	6875
445	5525	6863
446	5536	6849
447	5547	6835
448	5558	6821
449	5570	6808
450	5582	6796
451	5595	6783
452	5606	6770
453	5618	6757
454	5629	6742
455	5640	6728
456	5653	6717
457	5664	6703
458	5677	6691
459	5689	6679
460	5702	6667
461	5714	6654
462	5726	6642
463	5741	6631
464	5752	6618
465	5764	6605
466	5776	6592
467	5788	6580
468	5801	6567
469	5811	6553
470	5823	6540
471	5835	6528
472	5847	6515
473	5860	6503
474	5872	6490
475	5883	6477
476	5894	6462
477	5906	6450
478	5918	6437
479	5931	6425
480	5941	6411
481	5954	6398
482	5966	6386
483	5980	6375
484	5992	6362
485	6004	6350
486	6016	6338
487	6028	6324
488	6040	6312
489	6052	6299
490	6066	6288
491	6078	6275
492	6089	6262
493	6100	6248
494	6112	6236
495	6124	6223
496	6137	6212
497	6150	6199
498	6161	6186
499	6173	6173
500	6185	6161
501	6197	6148
502	6209	6135
503	6220	6121
504	6232	6109
505	6245	6097
506	6257	6084
507	6269	6072
508	6282	6060
509	6293	6046
510	6304	6033
511	6316	6020
512	6328	6007
513	6339	5993
514	6350	5980
515	6363	5968
516	6375	5956
517	6387	5943
518	6398	5930
519	6411	5917
520	6423	5905
521	6435	5892
522	6446	5879
523	6459	5867
524	6470	5854
525	6483	5842
526	6499	5833
527	6512	5821
528	6526	5811
529	6539	5799
530	6551	5786
531	6562	5773
532	6575	5761
533	6588	5749
534	6601	5737
535	6613	5725
536	6626	5713
537	6638	5700
538	6652	5689
539	6665	5678
540	6678	5665
541	6691	5654
542	6703	5642
543	6716	5629
544	6728	5617
545	6740	5604
546	6751	5591
547	6763	5578
548	6776	5566
549	6788	5553
550	6800	5541
551	6812	5528
552	6824	5516
553	6836	5503
554	6847	5490
555	6859	5477
556	6871	5465
557	6882	5452
558	6895	5439
559	6907	5427
560	6920	5415
561	6932	5402
562	6943	5389
563	6956	5378
564	6968	5365
565	6980	5352
566	6992	5339
567	7004	5327
568	7017	5315
569	7030	5303
570	7041	5290
571	7055	5278
572	7066	5265
573	7077	5252
574	7090	5240
575	7102	5228
576	7115	5216
577	7127	5204
578	7140	5191
579	7153	5180
580	7173	5173
581	7196	5168
582	7219	5163
583	7241	5158
584	7264	5153
585	7286	5148
586	7312	5144
587	7338	5141
588	7366	5140
589	7390	5135
590	7414	5131
591	7437	5125
592	7461	5120
593	7483	5115
594	7510	5111
595	7533	5106
596	7561	5104
597	7586	5100
598	7611	5095
599	7634	5089
600	7659	5084
601	7682	5079
602	7709	5075
603	7736	5072
604	7762	5068
605	7785	5061
606	7807	5054
607	7830	5048
608	7852	5041
609	7877	5036
610	7901	5030
611	7923	5023
612	7946	5016
613	7969	5010
614	7991	5002
615	8013	4995
616	8039	4990
617	8066	4986
618	8094	4982
619	8120	4977
620	8150	4974
621	8173	4966
622	8196	4959
623	8220	4953
624	8243	4946
625	8269	4940
626	8290	4932
627	8314	4925
628	8337	4917
629	8358	4909
630	8385	4903
631	8408	4896
632	8430	4887
633	8454	4880
634	8480	4874
635	8506	4868
636	8538	4865
637	8567	4861
638	8591	4853
639	8620	4849
640	8647	4843
641	8673	4836
642	8699	4830
643	8734	4828
644	8759	4821
645	8785	4814
646	8811	4807
647	8836	4799
648	8863	4793
649	8885	4784
650	8907	4775
651	8932	4767
652	8956	4759
653	8979	4750
654	9001	4741
655	9024	4732
656	9050	4724
657	9076	4717
658	9102	4710
659	9127	4701
660	9151	4693
661	9176	4685
662	9200	4676
663	9224	4667
664	9250	4660
665	9275	4651
666	9297	4641
667	9322	4633
668	9348	4625
669	9373	4616
670	9399	4608
671	9424	4599
672	9449	4591
673	9474	4582
674	9496	4572
675	9517	4561
676	9542	4552
677	9565	4543
678	9589	4533
679	9611	4523
680	9633	4512
681	9658	4503
682	9680	4493
683	9705	4483
684	9731	4475
685	9756	4465
686	9779	4455
687	9798	4443
688	9812	4429
689	9823	4413
690	9834	4397
691	9845	4382
692	9856	4366
693	9867	4350
694	9878	4335
695	9889	4319
696	9901	4304
697	9914	4289
698	9926	4274
699	9939	4259
700	9950	4244
701	9961	4228
702	9971	4212
703	9982	4197
704	9994	4182
705	10006	4167
706	10018	4151
707	10030	4136
708	10041	4121
709	10053	4106
710	10065	4091
711	10078	4076
712	10089	4061
713	10102	4046
714	10116	4032
715	10127	4017
716	10139	4002
717	10152	3987
718	10163	3972
719	10173	3956
720	10185	3941
721	10198	3926
722	10211	3912
723	10223	3897
724	10235	3882
725	10247	3867
726	10259	3852
727	10270	3837
728	10281	3822
729	10293	3807
730	10304	3792
731	10316	3777
732	10329	3762
733	10339	3746
734	10351	3732
735	10361	3716
736	10371	3701
737	10383	3686
738	10396	3671
739	10408	3657
740	10420	3642
741	10432	3627
742	10444	3612
743	10455	3597
744	10466	3582
745	10477	3567
746	10491	3553
747	10503	3538
748	10514	3523
749	10526	3508
750	10539	3494
751	10551	3479
752	10562	3464
753	10573	3449
754	10585	3434
755	10596	3420
756	10609	3405
757	10622	3391
758	10633	3376
759	10645	3361
760	10657	3347
761	10669	3332
762	10681	3317
763	10693	3303
764	10706	3288
765	10718	3274
766	10730	3259
767	10743	3245
768	10754	3230
769	10766	3215
770	10778	3201
771	10790	3186
772	10802	3172
773	10813	3157
774	10824	3142
775	10837	3128
776	10848	3113
777	10860	3099
778	10873	3084
779	10885	3070
780	10896	3055
781	10908	3041
782	10920	3026
783	10931	3011
784	10942	2997
785	10954	2982
786	10965	2967
787	10976	2953
788	10988	2938
789	11001	2924
790	11017	2911
791	11041	2899
792	11065	2888
793	11090	2877
794	11114	2865
795	11137	2854
796	11160	2842
797	11181	2830
798	11204	2818
799	11227	2806
800	11249	2794
801	11273	2783
802	11294	2770
803	11318	2759
804	11341	2747
805	11364	2735
806	11390	2724
807	11414	2712
808	11437	2700
809	11459	2688
810	11485	2676
811	11511	2665
812	11536	2653
813	11561	2641
814	11583	2629
815	11607	2617
816	11631	2605
817	11655	2593
818	11679	2581
819	11705	2569
820	11731	2557
821	11753	2545
822	11776	2532
823	11801	2520
824	11824	2508
825	11847	2495
826	11870	2483
827	11895	2471
828	11920	2458
829	11943	2446
830	11966	2433
831	11989	2420
832	12011	2408
833	12036	2395
834	12069	2385
835	12099	2373
836	12127	2361
837	12150	2348
838	12176	2336
839	12202	2324
840	12225	2311
841	12247	2298
842	12270	2285
843	12292	2272
844	12315	2258
