iter	RMSE
0	41.42715436
1	39.54433871
2	37.90504147
3	36.48960148
4	35.23925666
5	34.10396756
6	33.14687698
7	32.31564447
8	31.60566653
9	30.84176718
10	30.27328646
11	29.61258265
12	29.0402402
13	28.59534837
14	28.08667215
15	27.64592626
16	27.21376278
17	26.82432356
18	26.48892337
19	26.11849529
20	25.79854961
21	25.53922817
22	25.2984534
23	25.03572365
24	24.78013102
25	24.48016384
26	24.25969209
27	23.97529676
28	23.74748478
29	23.5811536
30	23.36639353
31	23.18721705
32	22.94792853
33	22.77307762
34	22.59956497
35	22.41162783
36	22.27171665
37	22.14621059
38	21.94117957
39	21.78743416
40	21.656419
41	21.54887822
42	21.4051532
43	21.31683417
44	21.16287922
45	21.03197878
46	20.92401498
47	20.766566
48	20.67791236
49	20.55638535
50	20.41184254
51	20.33349046
52	20.21273067
53	20.09985579
54	20.01475999
55	19.89260495
56	19.79519469
57	19.72128655
58	19.64221145
59	19.52427978
60	19.44458221
61	19.34676001
62	19.27796194
63	19.17213741
64	19.08705465
65	19.01737812
66	18.94758311
67	18.8786551
68	18.80486012
69	18.72495615
70	18.65524909
71	18.58096032
72	18.52742291
73	18.46761769
74	18.38670639
75	18.32249895
76	18.26268095
77	18.21831711
78	18.15941431
79	18.10520082
80	18.07126703
81	18.01678668
82	17.96696054
83	17.90630443
84	17.86062222
85	17.80200383
86	17.75641727
87	17.72396939
88	17.66828788
89	17.61374802
90	17.56576316
91	17.53178207
92	17.49675384
93	17.45080647
94	17.42005843
95	17.38485795
96	17.34751331
97	17.3160704
98	17.28224215
99	17.26360139
100	17.22976598
101	17.18872411
102	17.14975293
103	17.11693767
104	17.08274232
105	17.04523058
106	17.02250108
107	17.00108012
108	16.96682152
109	16.9268805
110	16.903484
111	16.86101518
112	16.83538525
113	16.81023165
114	16.79627168
115	16.77332446
116	16.74864644
117	16.71497312
118	16.68519855
119	16.64768838
120	16.62373433
121	16.60066859
122	16.59135868
123	16.57092924
124	16.54723097
125	16.52959861
126	16.51245269
127	16.49939697
128	16.48078327
129	16.46298504
130	16.43278723
131	16.41607132
132	16.38322292
133	16.34785416
134	16.32655927
135	16.31534259
136	16.2964969
137	16.27552512
138	16.24581348
139	16.23194074
140	16.21522407
141	16.19349028
142	16.16782319
143	16.15043675
144	16.1391233
145	16.1244254
146	16.09096342
147	16.07664369
148	16.06825017
149	16.05256113
150	16.03057106
151	16.00643173
152	15.98639302
153	15.97642533
154	15.94667314
155	15.93547159
156	15.91813093
157	15.88950388
158	15.87764555
159	15.85975258
160	15.84404381
161	15.83476266
162	15.82243405
163	15.80458099
164	15.77935061
165	15.75922177
166	15.74603625
167	15.73780108
168	15.72141088
169	15.71054135
170	15.7005123
171	15.69221228
172	15.68572001
173	15.66919855
174	15.65105752
175	15.63773237
176	15.62356255
177	15.6141122
178	15.60695005
179	15.59438039
180	15.5678344
181	15.56094715
182	15.55514377
183	15.5452628
184	15.54015222
185	15.53241933
186	15.52608695
187	15.51441223
188	15.49190438
189	15.48052961
190	15.46086946
191	15.45711854
192	15.44569653
193	15.43418712
194	15.42564466
195	15.41145051
196	15.40588589
197	15.40230364
198	15.39249434
199	15.38163206
200	15.37343692
201	15.35876028
202	15.34962605
203	15.34182472
204	15.32804438
